pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level
2731,30740.0,Neuhaus,Germany,DE,DEU,53.8,9.033333,1.1323,Moderate,A,4,D1|D2|D3|D4,0.6476,False,1.732,A,7.5,10.0,0.0,1.2,11.0,1,1,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,12.7,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2732,28955.0,Kappeln,Germany,DE,DEU,54.666667,9.933333,1.1323,Moderate,A,4,D1|D2|D3|D4,0.6476,False,1.732,A,7.5,10.0,0.0,1.2,11.0,1,1,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,21.4,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2733,30725.0,Itzehoe,Germany,DE,DEU,53.916667,9.516667,1.1323,Moderate,A,4,D1|D2|D3|D4,0.6476,False,1.732,A,7.5,10.0,0.0,1.2,11.0,1,1,0,0.04,3.043,A,2.25,2.244,8.0,2.124,4.1,47.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,23.2,0.265,A,2.36,1.36,0.0,0.0,1.32,1.82,none,none
2734,48613.0,Sikka,India,IN,IND,22.433333,69.833333,1.1312,Moderate,A,4,D1|D2|D3|D4,0.914,False,0.861,A,0.0,10.0,0.0,5.5,24.0,4,1,0,0.2,4.274,A,4.0,3.974,5.0,4.48,3.4,74.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,17.5,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none
2735,48895.0,Jaigarh Bay,India,IN,IND,17.3,73.216666667,1.1312,Moderate,A,4,D1|D2|D3|D4,0.914,False,0.861,A,0.0,10.0,0.0,5.5,18.5,4,1,0,0.2,4.274,A,4.0,3.974,5.0,4.48,3.4,74.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,31.9,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none
2736,49170.0,Trivandrum,India,IN,IND,8.483333,76.95,1.1312,Moderate,A,4,D1|D2|D3|D4,0.914,False,0.861,A,0.0,10.0,0.0,5.5,18.3,4,1,0,0.2,4.274,A,4.0,3.974,5.0,4.48,3.4,74.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,48.3,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none
2737,48674.0,Dahej,India,IN,IND,21.7,72.533333,1.1312,Moderate,A,4,D1|D2|D3|D4,0.914,False,0.861,A,0.0,10.0,0.0,5.5,18.6,4,1,0,0.2,4.274,A,4.0,3.974,5.0,4.48,3.4,74.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,31.9,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none
2738,48960.0,Panaji,India,IN,IND,15.5,73.81666699999998,1.1312,Moderate,A,4,D1|D2|D3|D4,0.914,False,0.861,A,0.0,10.0,0.0,5.5,17.0,4,1,0,0.2,4.274,A,4.0,3.974,5.0,4.48,3.4,74.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,9.5,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none
2739,46330.0,Luba,Equatorial Guinea,GQ,GNQ,3.5,8.566667,1.1309,Moderate,A,4,D1|D2|D3|D4,1.1784,False,0.548,A,0.0,10.0,0.0,0.9,24.0,4,1,0,0.03,6.57,A,6.75,6.731,5.0,8.2,2.3,117.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,35.6,0.386,A,5.24,6.24,0.0,0.0,-0.12,-0.62,none,none
2740,46310.0,Serpentina Terminal,Equatorial Guinea,GQ,GNQ,3.8,8.083333,1.1309,Moderate,A,4,D1|D2|D3|D4,1.1784,False,0.548,A,0.0,10.0,0.0,0.9,24.0,4,1,0,0.03,6.57,A,6.75,6.731,5.0,8.2,2.3,117.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,41.6,0.386,A,5.24,6.24,0.0,0.0,-0.12,-0.62,none,none
2741,46306.0,Punta Europa Terminal,Equatorial Guinea,GQ,GNQ,3.783333,8.716667,1.1309,Moderate,A,4,D1|D2|D3|D4,1.1784,False,0.548,A,0.0,10.0,0.0,0.9,24.0,4,1,0,0.03,6.57,A,6.75,6.731,5.0,8.2,2.3,117.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,8.3,0.386,A,5.24,6.24,0.0,0.0,-0.12,-0.62,none,none
2742,46335.0,Ceiba Terminal,Equatorial Guinea,GQ,GNQ,1.416667,9.233333,1.1309,Moderate,A,4,D1|D2|D3|D4,1.1784,False,0.548,A,0.0,10.0,0.0,0.9,24.0,4,1,0,0.03,6.57,A,6.75,6.731,5.0,8.2,2.3,117.0,uncertain,1.177,A,1.2,2.0,8.0,0.056,12,1,0.8,63.8,0.386,A,5.24,6.24,0.0,0.0,-0.12,-0.62,none,none
2743,54970.0,Launceston,Australia,AU,AUS,-41.45,147.116667,1.1306,Moderate,A,4,D1|D2|D3|D4,0.5888,False,1.903,A,10.0,8.748,0.0,1.5,7.9,0,2,0,0.05,2.672,A,3.25,3.269,2.0,2.4,3.7,63.0,stable,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,41.7,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2744,60385.0,Chinae,South Korea,KR,KOR,35.133333,128.65,1.1299,Moderate,A,4,D1|D2|D3|D4,0.6049,False,1.6,A,2.5,8.748,0.0,3.0,15.5,3,2,0,0.1,2.774,A,3.5,3.526,2.0,2.4,3.6,67.0,stable,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,9.4,0.312,A,3.7,2.36,0.0,0.0,0.65,1.32,none,none
2745,5700.0,Havre Aubert,Canada,CA,CAN,47.233333333,-61.833333333,1.1298,Moderate,A,4,D1|D2|D3|D4,0.4874,False,1.6549,A,5.0,10.0,0.0,1.5,12.5,2,1,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.669,A,1.2,2.0,8.0,0.404,12,1,0.8,148.9,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2746,2930.0,Belleville,Canada,CA,CAN,44.15,-77.4,1.1276,Moderate,A,4,D1|D2|D3|D4,0.5012,False,1.903,A,10.0,8.748,0.0,1.5,4.9,0,2,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.44,A,1.2,2.0,8.0,0.224,12,1,0.8,104.9,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2747,46205.0,Bonny,Nigeria,NG,NGA,4.45,7.166667,1.1271,Moderate,A,4,D1|D2|D3|D4,1.1684,False,0.504,A,0.0,7.171,0.0,0.9,20.0,4,4,0,0.03,6.4,A,6.0,6.026,8.0,5.8,2.6,106.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,26.0,0.425,A,8.56,6.76,0.0,0.0,-1.78,-0.88,none,none
2748,5560.0,Dalhousie,Canada,CA,CAN,48.066667,-66.366667,1.127,Moderate,A,4,D1|D2|D3|D4,0.4922,False,1.771,A,7.5,8.748,0.0,1.5,11.0,1,2,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.544,A,1.2,2.0,8.0,0.296,12,1,0.8,122.4,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2749,2960.0,Cobourg,Canada,CA,CAN,43.95,-78.166667,1.127,Moderate,A,4,D1|D2|D3|D4,0.5015,False,1.903,A,10.0,8.748,0.0,1.5,6.4,0,2,0,0.05,2.161,A,2.75,2.756,2.0,1.44,3.9,55.0,stable,1.437,A,1.2,2.0,8.0,0.222,12,1,0.8,104.5,0.273,A,2.5,1.56,0.0,0.0,1.25,1.72,none,none
2750,13810.0,Puerto Belgrano,Argentina,AR,ARG,-38.883333,-62.1,1.1268,Moderate,A,4,D1|D2|D3|D4,1.0792,False,0.677,A,0.0,8.748,0.0,2.4,17.1,4,2,0,0.08,5.512,A,4.75,4.744,8.0,5.12,3.1,86.0,volatile,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,6.3,0.367,A,4.7,5.16,0.0,0.0,0.15,-0.08,none,none
2751,48274.0,Al Hamriyah Lpg Terminal,United Arab Emirates,AE,ARE,25.466667,55.483333,1.1266,Moderate,A,4,D1|D2|D3|D4,0.6971,False,1.346,A,2.5,8.748,0.0,1.5,15.5,3,2,0,0.05,3.208,A,3.75,3.718,2.0,3.8,3.5,70.0,stable,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,7.5,0.317,A,3.3,3.1,0.0,0.0,0.85,0.95,none,none
