pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level
1,48190.0,Aden,Yemen,YE,YEM,12.783333,44.95,3.6447,Critical,A,4,D1|D2|D3|D4,0.5344,False,1.523,A,2.5,7.171,0.0,3.0,16.0,3,4,0,0.1,6.737,A,7.0,6.923,5.0,8.5,2.2,120.0,uncertain,2.607,A,5.5,2.0,5.5,0.764,55,1,0.55,237.3,6.597,A,10.7,8.44,3.0,10.0,-2.85,-1.72,sdn_adjacent,active_military
2,45005.0,Baniyas,Syria,SY,SYR,35.188333333,35.943333333,3.1489,Critical,A,4,D1|D2|D3|D4,0.7778,False,1.498,A,2.5,4.736,0.0,4.25,15.5,3,10,0,0.15,5.661,A,7.0,6.987,5.0,4.2,2.2,121.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,32.8,9.851,A,10.56,8.56,10.0,10.0,-2.78,-1.78,comprehensive,active_military
3,10550.0,Nueva Gerona,Cuba,CU,CUB,21.916667,-82.79999999999998,3.1227,Critical,A,4,D1|D2|D3|D4,0.5627,False,5.946,A,10.0,10.0,4.167,3.0,6.4,0,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.523,A,1.2,2.0,8.0,0.28,12,1,0.8,118.7,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
4,10140.0,Caibarien,Cuba,CU,CUB,22.533333333,-79.466666667,2.9731,High,A,4,D1|D2|D3|D4,0.5561,False,5.233,A,10.0,10.0,2.5,3.0,7.0,0,1,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.422,A,1.2,2.0,8.0,0.213,12,1,0.8,102.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
5,10050.0,Santa Lucia,Cuba,CU,CUB,22.666666667,-83.966666667,2.9701,High,A,4,D1|D2|D3|D4,0.5767,False,5.623,A,10.0,10.0,3.333,3.0,5.0,0,1,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.318,A,1.2,2.0,8.0,0.157,12,1,0.8,88.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
6,10500.0,Jucaro,Cuba,CU,CUB,21.616667,-78.84999999999998,2.9692,High,A,4,D1|D2|D3|D4,0.5391,False,4.87,A,7.5,10.0,2.5,3.0,9.4,1,1,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.52,A,1.2,2.0,8.0,0.278,12,1,0.8,118.0,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
7,10130.0,Isabela De Sagua,Cuba,CU,CUB,22.95,-80.0,2.9416,High,A,4,D1|D2|D3|D4,0.5545,False,5.061,A,10.0,8.748,2.5,3.0,6.9,0,2,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.409,A,1.2,2.0,8.0,0.205,12,1,0.8,100.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
8,9760.0,Puerto Cabezas,Nicaragua,NI,NIC,14.016667,-83.38333299999998,2.9365,High,A,4,D1|D2|D3|D4,0.5853,False,6.349,A,7.5,10.0,3.333,6.5,10.0,1,1,4,0.25,5.022,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,1.973,A,1.2,2.0,8.0,0.789,12,1,0.8,243.3,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none
9,10210.0,Banes,Cuba,CU,CUB,20.916666667,-75.716666667,2.9278,High,A,4,D1|D2|D3|D4,0.6016,False,5.946,A,10.0,10.0,4.167,3.0,7.0,0,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,9.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
10,10430.0,Ceiba Hueca,Cuba,CU,CUB,20.216667,-77.31666699999998,2.9085,High,A,4,D1|D2|D3|D4,0.5974,False,5.791,A,7.5,10.0,5.0,3.0,9.4,1,1,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
11,10420.0,Media Luna,Cuba,CU,CUB,20.15,-77.433333,2.9085,High,A,4,D1|D2|D3|D4,0.5974,False,5.791,A,7.5,10.0,5.0,3.0,9.4,1,1,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,14.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
12,10080.0,Cabanas,Cuba,CU,CUB,23.0,-82.966667,2.9005,High,A,4,D1|D2|D3|D4,0.5958,False,5.727,A,10.0,7.171,5.0,3.0,6.4,0,4,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,20.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
13,10090.0,Mariel,Cuba,CU,CUB,22.983333,-82.75,2.8844,High,A,4,D1|D2|D3|D4,0.5927,False,5.601,A,7.5,8.748,5.0,3.0,10.0,1,2,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,42.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
14,10460.0,Manzanillo,Cuba,CU,CUB,20.35,-77.116667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,9.4,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,25.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
15,10070.0,Bahia Honda,Cuba,CU,CUB,22.966666667,-83.166666667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,10.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,42.7,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
16,10190.0,Vita,Cuba,CU,CUB,21.1,-75.966666667,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,9.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,38.3,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
17,10240.0,Preston,Cuba,CU,CUB,20.766666667,-75.65,2.8757,High,A,4,D1|D2|D3|D4,0.5912,False,5.534,A,7.5,10.0,4.167,3.0,8.0,1,1,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,6.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
18,10120.0,Cardenas,Cuba,CU,CUB,23.05,-81.2,2.8632,High,A,4,D1|D2|D3|D4,0.5891,False,5.438,A,10.0,8.748,3.333,3.0,5.2,0,2,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,35.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
19,62670.0,Tiksi,Russia,RU,RUS,71.644444444,128.890555556,2.8545,High,A,4,D1|D2|D3|D4,0.4629,False,1.903,A,10.0,8.748,0.0,1.5,6.4,0,2,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,3.269,A,1.2,2.0,8.0,5.948,12,1,0.8,1507.3,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
20,9769.0,El Bluff,Nicaragua,NI,NIC,12.0,-83.7,2.8466,High,A,4,D1|D2|D3|D4,0.5615,False,5.737,A,10.0,10.0,1.667,6.5,6.4,0,1,2,0.25,5.022,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,1.928,A,1.2,2.0,8.0,0.719,12,1,0.8,226.2,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none
21,10505.0,Palo Alto,Cuba,CU,CUB,21.583333333,-78.966666667,2.8358,High,A,4,D1|D2|D3|D4,0.5851,False,5.233,A,10.0,10.0,2.5,3.0,6.7,0,1,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,12.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
22,48399.0,Umm Qasr,Iraq,IQ,IRQ,30.016667,47.95,2.833,High,A,4,D1|D2|D3|D4,0.4855,False,2.106,A,7.5,8.748,0.0,3.0,11.0,1,2,0,0.1,5.226,A,6.25,6.282,5.0,3.8,2.5,110.0,uncertain,4.329,A,6.8,2.0,5.5,4.694,68,1,0.55,1200.0,1.352,A,9.24,7.24,3.0,0.0,-2.12,-1.12,sdn_adjacent,none
23,9770.0,Bluefields,Nicaragua,NI,NIC,12.016667,-83.75,2.8226,High,A,4,D1|D2|D3|D4,0.5536,False,5.549,A,10.0,8.748,1.667,6.5,6.4,0,2,2,0.25,5.022,A,6.25,6.282,5.0,3.24,2.5,110.0,uncertain,1.927,A,1.2,2.0,8.0,0.718,12,1,0.8,225.9,1.182,A,6.04,4.96,3.0,0.0,-0.52,0.02,sdn_adjacent,none
24,10160.0,Puerto Padre,Cuba,CU,CUB,21.283333,-76.533333,2.8122,High,A,4,D1|D2|D3|D4,0.5823,False,5.061,A,7.5,8.748,3.333,3.0,9.1,1,2,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,30.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
25,10250.0,Felton,Cuba,CU,CUB,20.733333,-75.59999999999998,2.7804,High,A,4,D1|D2|D3|D4,0.5796,False,4.836,A,5.0,8.748,4.167,3.0,13.0,2,2,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,5.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
26,10370.0,Santiago De Cuba,Cuba,CU,CUB,20.016667,-75.83333299999998,2.7775,High,A,4,D1|D2|D3|D4,0.5794,False,4.816,A,7.5,7.171,3.333,3.0,11.0,1,4,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.095,12,1,0.8,73.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
27,10480.0,Santa Cruz del Sur,Cuba,CU,CUB,20.7,-77.983333333,2.7649,High,A,4,D1|D2|D3|D4,0.5786,False,4.729,A,10.0,10.0,1.667,3.0,5.0,0,1,2,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,38.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
28,10290.0,Baracoa,Cuba,CU,CUB,20.35,-74.5,2.7649,High,A,4,D1|D2|D3|D4,0.5786,False,4.729,A,10.0,10.0,1.667,3.0,7.0,0,1,2,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.018,12,1,0.8,54.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
29,10520.0,Tunas De Zaza,Cuba,CU,CUB,21.633333,-79.54999999999998,2.7649,High,A,4,D1|D2|D3|D4,0.5786,False,4.729,A,10.0,10.0,1.667,3.0,7.9,0,1,2,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,46.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
30,48520.0,Bandar Abbas,Iran,IR,IRN,27.15,56.2,2.7575,High,A,4,D1|D2|D3|D4,0.617,False,0.884,A,0.0,7.171,0.0,8.5,20.1,4,4,0,0.35,5.964,A,6.0,6.026,5.0,7.0,2.6,106.0,uncertain,5.627,A,5.2,6.0,4.5,7.143,52,3,0.45,1800.0,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
31,62680.0,Pevek,Russia,RU,RUS,69.716667,170.3,2.7212,High,A,4,D1|D2|D3|D4,0.4896,False,1.831,A,7.5,10.0,0.0,1.5,11.0,1,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.806,A,1.2,2.0,8.0,3.228,12,1,0.8,840.9,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
32,12275.0,Puerto De Hierro,Venezuela,VE,VEN,10.633333,-62.1,2.7171,High,A,4,D1|D2|D3|D4,0.6177,False,4.474,A,10.0,8.748,0.833,5.5,6.4,0,2,1,0.2,6.307,A,6.5,6.474,5.0,7.52,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,23.1,1.641,A,6.9,7.84,6.0,0.0,-0.95,-1.42,sectoral,none
33,10100.0,Bahai De La Habana,Cuba,CU,CUB,23.133333,-82.366667,2.7064,High,A,4,D1|D2|D3|D4,0.5775,False,4.341,A,5.0,4.736,5.0,3.0,12.5,2,10,6,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,42.6,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
34,10470.0,Guayabal,Cuba,CU,CUB,20.7,-77.616667,2.693,High,A,4,D1|D2|D3|D4,0.5778,False,4.256,A,5.0,8.748,2.5,3.0,12.5,2,2,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.05,12,1,0.8,62.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
35,48540.0,Jask,Iran,IR,IRN,25.633333,57.766667,2.6912,High,A,4,D1|D2|D3|D4,0.5364,False,2.826,A,7.5,10.0,0.0,8.5,23.2,1,1,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.646,A,1.2,2.0,8.0,0.382,12,1,0.8,143.5,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
36,62695.0,Port Dikson,Russia,RU,RUS,73.50638888899998,80.50611111099998,2.6901,High,A,4,D1|D2|D3|D4,0.4966,False,1.831,A,7.5,10.0,0.0,1.5,11.0,1,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.68,A,1.2,2.0,8.0,2.688,12,1,0.8,708.6,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
37,10230.0,Antilla,Cuba,CU,CUB,20.833333,-75.733333,2.6758,High,A,4,D1|D2|D3|D4,0.5784,False,4.148,A,5.0,4.736,4.167,3.0,12.5,2,10,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,11.4,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
38,45003.0,Tartus,Syria,SY,SYR,34.9,35.866667,2.6758,High,A,4,D1|D2|D3|D4,0.8474,False,0.781,A,0.0,8.748,0.0,4.25,21.6,4,2,0,0.15,5.661,A,7.0,6.987,5.0,4.2,2.2,121.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,32.8,9.851,A,10.56,8.56,10.0,10.0,-2.78,-1.78,comprehensive,active_military
39,10260.0,Nicaro,Cuba,CU,CUB,20.716667,-75.54999999999998,2.6624,High,A,4,D1|D2|D3|D4,0.5791,False,4.066,A,2.5,8.748,4.167,3.0,14.0,3,2,5,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,5.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
40,10530.0,Casilda,Cuba,CU,CUB,21.75,-79.983333,2.6598,High,A,4,D1|D2|D3|D4,0.5793,False,4.05,A,5.0,7.171,2.5,3.0,12.0,2,4,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.063,12,1,0.8,65.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
41,10540.0,Cienfuegos,Cuba,CU,CUB,22.15,-80.45,2.6582,High,A,4,D1|D2|D3|D4,0.5794,False,4.04,A,7.5,4.736,2.5,3.0,11.5,1,10,3,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.063,12,1,0.8,65.5,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
42,62540.0,Okhotsk Iy Reyd,Russia,RU,RUS,59.366667,143.2,2.6444,High,A,4,D1|D2|D3|D4,0.5066,False,1.968,A,10.0,10.0,0.0,1.5,7.0,0,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.328,A,1.2,2.0,8.0,1.531,12,1,0.8,425.0,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
43,10320.0,Puerto Guantanamo,Cuba,CU,CUB,19.983333,-75.13333299999998,2.6387,High,A,4,D1|D2|D3|D4,0.5809,False,3.923,A,5.0,4.736,3.333,3.0,12.5,2,10,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.095,12,1,0.8,73.2,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
44,10280.0,Cayo Moa Grande,Cuba,CU,CUB,20.666667,-74.9,2.6255,High,A,4,D1|D2|D3|D4,0.5821,False,3.845,A,2.5,8.748,3.333,3.0,14.0,3,2,4,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,45.1,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
45,10150.0,Nuevitas Bay,Cuba,CU,CUB,21.55,-77.266667,2.5917,High,A,4,D1|D2|D3|D4,0.586,False,3.651,A,7.5,4.736,1.667,3.0,11.0,1,10,2,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.003,12,1,0.8,50.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
46,44080.0,Azov,Russia,RU,RUS,47.1,39.433333,2.5743,High,A,4,D1|D2|D3|D4,0.5266,False,1.968,A,10.0,10.0,0.0,1.5,3.4,0,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.091,A,1.2,2.0,8.0,0.996,12,1,0.8,294.1,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
47,62630.0,Nikol Skoye,Russia,RU,RUS,55.2,165.983333,2.5732,High,A,4,D1|D2|D3|D4,0.5288,False,1.655,A,5.0,10.0,0.0,1.5,12.5,2,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.482,A,1.2,2.0,8.0,1.976,12,1,0.8,534.0,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
48,44060.0,Taganrog,Russia,RU,RUS,47.2,38.95,2.5697,High,A,4,D1|D2|D3|D4,0.5279,False,1.968,A,10.0,10.0,0.0,1.5,3.4,0,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.076,A,1.2,2.0,8.0,0.967,12,1,0.8,286.8,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
49,44070.0,Rostov-Na-Donu,Russia,RU,RUS,47.166667,39.716667,2.5634,High,A,4,D1|D2|D3|D4,0.5299,False,1.903,A,10.0,8.748,0.0,1.5,3.4,0,2,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,2.126,A,1.2,2.0,8.0,1.064,12,1,0.8,310.7,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
50,48550.0,Chah Bahar,Iran,IR,IRN,25.266667,60.616667,2.5517,High,A,4,D1|D2|D3|D4,0.5733,False,2.147,A,2.5,10.0,0.0,8.5,16.0,3,1,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.751,A,1.2,2.0,8.0,0.49,12,1,0.8,170.0,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
51,47130.0,Kismaayo,Somalia,SO,SOM,-0.366667,42.55,2.5288,High,A,4,D1|D2|D3|D4,0.6819,False,2.213,A,10.0,10.0,0.0,2.4,7.9,0,1,0,0.08,6.632,A,7.5,7.5,5.0,6.88,2.0,129.0,uncertain,1.947,A,1.2,2.0,8.0,0.748,12,1,0.8,233.3,1.431,A,10.36,9.16,3.0,0.0,-2.68,-2.08,sdn_adjacent,none
52,44090.0,Yeysk,Russia,RU,RUS,46.733333,38.266667,2.5154,High,A,4,D1|D2|D3|D4,0.5443,False,1.968,A,10.0,10.0,0.0,1.5,3.4,0,1,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,1.906,A,1.2,2.0,8.0,0.688,12,1,0.8,218.5,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
53,10158.0,Manati,Cuba,CU,CUB,21.366667,-76.81666699999998,2.5143,High,A,4,D1|D2|D3|D4,0.5992,False,3.234,A,2.5,8.748,1.667,3.0,15.5,3,2,2,0.1,5.869,A,6.5,6.474,5.0,5.64,2.4,113.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,30.8,1.789,A,5.1,6.36,10.0,0.0,-0.05,-0.68,comprehensive,none
54,47940.0,Port Sudan,Sudan,SD,SDN,19.6,37.233333,2.5081,High,A,4,D1|D2|D3|D4,0.6884,False,0.623,A,0.0,7.171,0.0,2.1,24.0,4,4,0,0.07,6.338,A,7.0,6.987,5.0,6.6,2.2,121.0,uncertain,5.854,A,4.5,6.0,5.2,8.367,45,3,0.52,2100.0,1.712,A,8.7,8.04,6.0,0.0,-1.85,-1.52,sectoral,none
55,62775.0,Mezen,Russia,RU,RUS,65.833333,44.183333,2.4993,Elevated,A,4,D1|D2|D3|D4,0.5493,False,1.903,A,10.0,8.748,0.0,1.5,3.4,0,2,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,1.921,A,1.2,2.0,8.0,0.71,12,1,0.8,224.0,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
56,49590.0,Chittagong,Bangladesh,BD,BGD,22.316666667,91.816666667,2.4944,Elevated,A,4,D1|D2|D3|D4,0.5985,False,4.418,A,5.0,7.171,2.5,4.25,12.2,2,4,3,0.15,6.493,A,5.5,5.385,8.0,7.5,2.8,96.0,volatile,3.374,A,8.2,4.0,4.4,0.898,82,2,0.44,270.0,0.4,A,6.7,6.1,0.0,0.0,-0.85,-0.55,none,none
57,48464.0,Barkan Oil-loading Terminal,Iran,IR,IRN,29.733333,50.166667,2.4748,Elevated,A,4,D1|D2|D3|D4,0.5952,False,2.826,A,7.5,10.0,0.0,8.5,23.2,1,1,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.177,A,1.2,2.0,8.0,0.032,12,1,0.8,57.9,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
58,48440.0,Khosrowabad,Iran,IR,IRN,30.166667,48.416667,2.4748,Elevated,A,4,D1|D2|D3|D4,0.5952,False,2.826,A,7.5,10.0,0.0,8.5,11.0,1,1,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,22.5,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
59,14000.0,Stanley,Falkland Islands (Islas Malvinas),,,-51.7,-57.833333,2.4697,Elevated,A,4,D1|D2|D3|D4,0.4981,False,1.895,A,7.5,7.171,0.0,2.4,8.2,1,4,0,0.08,5.023,A,5.5,5.513,5.0,4.2,2.8,98.0,uncertain,2.699,A,1.2,2.0,8.0,2.762,12,1,0.8,726.7,1.448,A,5.16,4.96,0.0,6.0,-0.08,0.02,none,active_diplomatic
60,62720.0,Dudinka,Russia,RU,RUS,69.4,86.166667,2.462,Elevated,A,4,D1|D2|D3|D4,0.5608,False,1.811,A,10.0,7.171,0.0,1.5,7.9,0,4,0,0.05,5.493,A,5.25,5.256,5.0,6.6,2.9,94.0,uncertain,1.901,A,1.2,2.0,8.0,0.68,12,1,0.8,216.6,1.943,A,8.64,6.04,10.0,0.0,-1.82,-0.52,comprehensive,none
61,48450.0,Bandar-E Mahshahr,Iran,IR,IRN,30.466667,49.183333,2.4542,Elevated,A,4,D1|D2|D3|D4,0.6006,False,2.733,A,7.5,8.748,0.0,8.5,11.0,1,2,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,10.3,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
62,48468.0,Sirus Oil Terminal,Iran,IR,IRN,29.016667,49.483333,2.4509,Elevated,A,4,D1|D2|D3|D4,0.6022,False,2.469,A,5.0,8.748,0.0,8.5,23.2,2,2,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.296,A,1.2,2.0,8.0,0.147,12,1,0.8,86.0,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
63,44010.0,Mariupol,Ukraine,UA,UKR,47.083333,37.566667,2.4354,Elevated,A,4,D1|D2|D3|D4,0.4507,False,1.903,A,10.0,8.748,0.0,1.5,6.4,0,2,0,0.05,4.706,A,5.0,5.0,5.0,3.924,3.0,90.0,uncertain,1.978,A,1.2,2.0,8.0,0.798,12,1,0.8,245.4,1.986,A,9.56,6.1,0.0,10.0,-2.28,-0.55,none,active_military
64,48430.0,Abadan,Iran,IR,IRN,30.333333,48.283333,2.4237,Elevated,A,4,D1|D2|D3|D4,0.6091,False,2.6,A,7.5,7.171,0.0,8.5,9.4,1,4,0,0.35,5.786,A,6.0,6.026,5.0,6.2,2.6,106.0,uncertain,1.177,A,1.2,2.0,8.0,0.0,12,1,0.8,14.7,1.949,A,8.04,6.76,10.0,0.0,-1.52,-0.88,comprehensive,none
