pri_rank,port_id,port_name,country_name,iso2,iso3,latitude,longitude,pri_score,risk_tier,data_tier,n_dims,dims_used,dim_cv,cv_flag,d1_score,d1_tier,score_1_1,score_1_2,score_1_3,score_1_4,ctrl_depth_final,vessel_class_count,terminal_count,cyclone_passes,pga_g,d2_score,d2_tier,score_2_1,score_2_2,score_2_3,score_2_4,lpi_score,dwell_hours,labour_regime,d3_score,d3_tier,score_3_1,score_3_2,score_3_3,score_3_4,catchment_share_pct,hinterland_count,herfindahl,alt_distance_km,d4_score,d4_tier,score_4_1,score_4_2,score_4_3,score_4_4,wgi_ps,wgi_ge,sanctions_level,dispute_level,catchment_share_source,herfindahl_source,pga_source,cppi_2024_score,cppi_2024_rank,dwell_source_tier
1487,48262.0,Al Fujayrah,United Arab Emirates,AE,ARE,25.173055556,56.369166667,1.3053,Moderate,A,4,D1|D2|D3|D4,0.4844,False,2.404,A,5.0,7.143,0.0,9.357,23.2,2,2,0,0.3743,1.801,A,3.75,0.769,2.0,3.8,3.5,24.0,stable,2.115,A,10.0,2.0,10.0,0.0,100.0,1,1.0,21.1,0.317,A,3.3,3.1,0.0,0.0,0.85,0.95,none,none,cdm_derived,cdm_derived,gshap_real,,,unctad_2021_country_median
1488,41030.0,Bakar,Croatia,HR,HRV,45.3,14.533333,1.305,Moderate,B,4,D1|D2|D3|D4,0.5053,False,2.007,A,5.0,7.143,0.0,4.547,23.2,2,2,0,0.1819,2.6194,A,4.25,4.231,2.0,2.124,3.3,78.0,stable,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,8.7,0.321,A,3.26,3.36,0.0,0.0,0.87,0.82,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1488,19400.0,Port Alexander,United States,US,USA,56.25,-134.65,1.305,Moderate,B,4,D1|D2|D3|D4,0.4893,False,2.24,A,5.0,8.571,0.0,5.88,12.5,2,1,0,0.2352,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,5.7,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1490,40580.0,Porto Di Barletta,Italy,IT,ITA,41.334,16.292,1.3042,Moderate,B,4,D1|D2|D3|D4,0.4754,False,2.17,A,10.0,8.571,0.0,2.587,7.9,0,1,0,0.1035,2.288,A,3.75,0.705,8.0,2.124,3.5,23.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,12.4,0.339,A,3.8,3.96,0.0,0.0,0.6,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1491,19520.0,Hawk Inlet,United States,US,USA,58.116667,-134.75,1.3041,Moderate,B,4,D1|D2|D3|D4,0.4891,False,2.234,A,7.5,8.571,0.0,3.875,11.0,1,1,0,0.155,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,17.2,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1491,19550.0,Dupont,United States,US,USA,58.233333,-134.266667,1.3041,Moderate,B,4,D1|D2|D3|D4,0.4891,False,2.234,A,10.0,8.571,0.0,2.908,7.9,0,1,0,0.1163,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,11.5,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1491,16590.0,Sacramento,United States,US,USA,38.583333,-121.5,1.3041,Moderate,B,4,D1|D2|D3|D4,0.4891,False,2.234,A,10.0,7.143,0.0,3.487,7.9,0,2,0,0.1395,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,28.4,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1494,15640.0,Acajutla,El Salvador,SV,SLV,13.583333,-89.83333299999998,1.3039,Moderate,A,4,D1|D2|D3|D4,0.8363,False,0.929,A,0.0,8.571,0.0,8.7,20.1,4,1,0,0.348,4.5381,A,5.75,5.769,5.0,3.24,2.7,102.0,uncertain,1.795,A,10.0,2.0,5.192,0.0,100.0,1,0.5192,3.6,0.382,A,6.16,4.96,0.0,0.0,-0.58,0.02,none,none,cdm_derived,cdm_derived,gshap_real,-98.0,382.0,existing
1494,40090.0,Villa San Giovanni,Italy,IT,ITA,38.222,15.63,1.3039,Moderate,B,4,D1|D2|D3|D4,0.4754,False,2.168,A,5.0,7.143,0.0,6.187,13.0,2,2,0,0.2475,2.288,A,3.75,0.705,8.0,2.124,3.5,23.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,6.1,0.339,A,3.8,3.96,0.0,0.0,0.6,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1496,19260.0,Craig,United States,US,USA,55.466667,-133.15,1.3034,Moderate,B,4,D1|D2|D3|D4,0.4889,False,2.229,A,10.0,8.571,0.0,2.88,4.9,0,1,0,0.1152,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,19.3,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1497,16900.0,Longview,United States,US,USA,46.133333,-122.933333,1.3033,Moderate,B,4,D1|D2|D3|D4,0.4889,False,2.228,A,7.5,7.143,0.0,4.598,11.0,1,2,0,0.1839,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.5,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1497,16010.0,San Diego,United States,US,USA,32.716667,-117.183333,1.3033,Moderate,B,4,D1|D2|D3|D4,0.4889,False,2.228,A,7.5,4.286,0.0,7.672,11.0,1,4,0,0.3069,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,39.7,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1499,16050.0,Avalon,United States,US,USA,33.35,-118.316667,1.3027,Moderate,B,4,D1|D2|D3|D4,0.4888,False,2.224,A,5.0,8.571,0.0,5.71,12.5,2,1,0,0.2284,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,44.9,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1500,48730.0,Pipavav Bandar,India,IN,IND,20.916667,71.516667,1.3026,Moderate,B,4,D1|D2|D3|D4,0.4749,False,1.806,A,2.5,7.143,0.833,0.715,14.5,3,2,1,0.0286,2.454,A,4.0,0.66,5.0,4.48,3.4,22.3,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.9,0.378,A,6.64,4.16,0.0,0.0,-0.82,0.42,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1501,9320.0,Port Ingleside,United States,US,USA,27.816667,-97.183333,1.3022,Moderate,B,4,D1|D2|D3|D4,0.4887,False,2.221,A,7.5,8.571,1.667,0.227,9.4,1,1,2,0.0091,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,21.3,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1502,48338.0,Al Jubayl,Saudi Arabia,SA,SAU,27.083333,49.666667,1.3013,Moderate,B,4,D1|D2|D3|D4,0.5975,False,1.482,A,2.5,8.571,0.0,2.252,15.5,3,1,0,0.0901,3.1799,A,4.25,4.231,2.0,3.8,3.3,78.0,stable,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,28.4,0.354,A,4.9,3.96,0.0,0.0,0.05,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1503,16520.0,Stockton,United States,US,USA,37.95,-121.3,1.3009,Moderate,B,4,D1|D2|D3|D4,0.4884,False,2.212,A,7.5,7.143,0.0,4.467,11.0,1,2,0,0.1787,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,44.4,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1504,44660.0,Erdek,Turkey,TR,TUR,40.383333,27.8,1.2997,Moderate,B,4,D1|D2|D3|D4,0.5277,False,2.781,A,7.5,8.571,0.0,9.31,23.2,1,1,0,0.3724,1.575,A,4.5,0.199,5.0,3.924,3.2,15.1,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.6,0.379,A,6.44,4.44,0.0,0.0,-0.72,0.28,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1505,900.0,Uummannaq,Greenland,,,70.666666667,-52.116666667,1.2996,Moderate,B,4,D1|D2|D3|D4,0.86,False,0.624,A,0.0,8.571,0.0,1.772,24.0,4,1,0,0.0709,4.8738,A,5.5,5.513,5.0,4.2,2.8,98.0,uncertain,2.5348,A,5.455,2.0,8.0,0.473,12.0,1,0.8,165.8,0.37,A,5.16,4.96,0.0,0.0,-0.08,0.02,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1506,45377.0,Ashtart Oil Terminal,Tunisia,TN,TUN,34.283333,11.383333,1.2995,Moderate,B,4,D1|D2|D3|D4,0.8585,False,0.964,A,5.0,7.143,0.0,0.242,23.2,2,2,0,0.0097,4.6894,A,5.25,5.256,5.0,3.924,2.9,94.0,uncertain,1.7188,A,5.455,2.0,8.0,0.095,12.0,1,0.8,73.2,0.367,A,5.44,4.44,0.0,0.0,-0.22,0.28,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1507,39370.0,Imperia,Italy,IT,ITA,43.883333,8.033333,1.2993,Moderate,B,4,D1|D2|D3|D4,0.4744,False,2.138,A,7.5,7.143,0.0,3.9,11.0,1,2,0,0.156,2.288,A,3.75,0.705,8.0,2.124,3.5,23.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,21.2,0.339,A,3.8,3.96,0.0,0.0,0.6,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1508,59820.0,Siasi,Philippines,PH,PHL,5.55,120.816667,1.2992,Moderate,B,4,D1|D2|D3|D4,0.4722,False,1.818,A,2.5,8.571,0.0,5.095,14.0,3,1,0,0.2038,2.425,A,5.0,0.679,5.0,4.2,3.0,22.6,uncertain,1.7188,A,5.455,2.0,8.0,0.038,12.0,1,0.8,59.2,0.376,A,6.64,3.96,0.0,0.0,-0.82,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1509,20280.0,Ekuk,United States,US,USA,58.816667,-158.566667,1.2991,Moderate,B,4,D1|D2|D3|D4,0.4775,False,1.944,A,10.0,8.571,0.0,1.665,3.1,0,1,0,0.0666,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.9451,A,5.455,2.0,8.0,0.164,12.0,1,0.8,90.1,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1510,19240.0,Hydaburg,United States,US,USA,55.2,-132.833333,1.2989,Moderate,B,4,D1|D2|D3|D4,0.488,False,2.198,A,10.0,8.571,0.0,2.725,6.4,0,1,0,0.109,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,27.7,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1511,32680.0,Tvoroyri,Faroe Islands,,,61.55,-6.8,1.2988,Moderate,B,4,D1|D2|D3|D4,0.8851,False,0.918,A,2.5,8.571,0.0,0.332,15.0,3,1,0,0.0133,4.8738,A,5.5,5.513,5.0,4.2,2.8,98.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,7.4,0.37,A,5.16,4.96,0.0,0.0,-0.08,0.02,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1511,32690.0,Torshavn,Faroe Islands,,,62.0,-6.75,1.2988,Moderate,B,4,D1|D2|D3|D4,0.8851,False,0.918,A,2.5,8.571,0.0,0.332,16.0,3,1,0,0.0133,4.8738,A,5.5,5.513,5.0,4.2,2.8,98.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,13.0,0.37,A,5.16,4.96,0.0,0.0,-0.08,0.02,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1513,16850.0,Astoria,United States,US,USA,46.2,-123.833333,1.2984,Moderate,B,4,D1|D2|D3|D4,0.4879,False,2.195,A,5.0,7.143,0.0,6.495,12.5,2,2,0,0.2598,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,6.4,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1514,19280.0,Steamboat Bay,United States,US,USA,55.533333,-133.633333,1.2975,Moderate,B,4,D1|D2|D3|D4,0.4877,False,2.189,A,7.5,8.571,0.0,3.575,23.2,1,1,0,0.143,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,36.2,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1515,19270.0,Klawock,United States,US,USA,55.55,-133.1,1.2974,Moderate,B,4,D1|D2|D3|D4,0.4877,False,2.188,A,10.0,8.571,0.0,2.672,6.4,0,1,0,0.1069,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,29.0,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1516,55350.0,Timaru,New Zealand,NZ,NZL,-44.4,171.25,1.2972,Moderate,B,4,D1|D2|D3|D4,0.5187,False,1.918,A,5.0,7.143,0.0,3.787,12.5,2,2,0,0.1515,2.5675,A,3.5,3.526,2.0,2.4,3.6,67.0,stable,2.4262,A,5.455,2.0,8.0,0.397,12.0,1,0.8,147.2,0.237,A,1.76,0.9,0.0,0.0,1.62,2.05,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,-4.0,246.0,existing
1517,44825.0,Alanya,Turkey,TR,TUR,36.533333,32.0,1.2971,Moderate,B,4,D1|D2|D3|D4,0.4687,False,2.066,A,2.5,8.571,0.0,8.5,14.0,3,1,0,0.35,1.575,A,4.5,0.199,5.0,3.924,3.2,15.1,uncertain,2.2953,A,5.455,2.0,8.0,0.318,12.0,1,0.8,127.8,0.379,A,6.44,4.44,0.0,0.0,-0.72,0.28,none,none,proxy_harbor_size,proxy_terminal_count,country_average,,,unctad_2021_country_median
1518,55290.0,Nelson,New Zealand,NZ,NZL,-41.266667,173.266667,1.2969,Moderate,B,4,D1|D2|D3|D4,0.5434,False,2.705,A,7.5,7.143,0.0,10.0,11.0,1,2,0,0.4242,2.5675,A,3.5,3.526,2.0,2.4,3.6,67.0,stable,1.7188,A,5.455,2.0,8.0,0.052,12.0,1,0.8,62.7,0.237,A,1.76,0.9,0.0,0.0,1.62,2.05,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,0.0,227.0,existing
1519,15423.0,Vacamonte,Panama,PA,PAN,8.866667,-79.666667,1.2968,Moderate,B,4,D1|D2|D3|D4,0.4858,False,2.491,A,10.0,8.571,0.0,4.49,7.9,0,1,0,0.1796,1.887,A,4.75,0.583,8.0,1.44,3.1,21.1,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,14.4,0.35,A,4.5,4.1,0.0,0.0,0.25,0.45,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1519,48155.0,Ras Isa Marine Terminal,Yemen,YE,YEM,15.133333,42.6,1.2968,Moderate,B,4,D1|D2|D3|D4,0.8555,False,0.227,A,0.0,0.0,0.0,2.635,23.2,4,10,0,0.1054,5.1013,A,7.0,6.987,5.0,3.8,2.2,121.0,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,19.9,1.421,A,10.7,8.44,3.0,0.0,-2.85,-1.72,sdn_adjacent,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,existing
1521,40282.0,Giardini Naxos,Italy,IT,ITA,37.828,15.273,1.2958,Moderate,B,4,D1|D2|D3|D4,0.4737,False,2.115,A,5.0,7.143,0.0,5.605,13.0,2,2,0,0.2242,2.288,A,3.75,0.705,8.0,2.124,3.5,23.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,11.8,0.339,A,3.8,3.96,0.0,0.0,0.6,0.52,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1522,51803.0,Tanjung Sangata,Indonesia,ID,IDN,0.366667,117.566667,1.2957,Moderate,B,4,D1|D2|D3|D4,0.5022,False,1.708,A,5.0,8.571,0.0,1.985,12.5,2,1,0,0.0794,2.623,A,5.0,0.859,5.0,4.2,3.0,25.4,uncertain,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,31.1,0.366,A,5.56,4.24,0.0,0.0,-0.28,0.38,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1523,9270.0,Port Lavaca,United States,US,USA,28.616667,-96.616667,1.2955,Moderate,B,4,D1|D2|D3|D4,0.4827,False,1.778,A,5.0,8.571,0.833,0.28,12.5,2,1,1,0.0112,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,2.1028,A,5.455,2.0,8.0,0.224,12.0,1,0.8,104.9,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1524,20300.0,Dillingham,United States,US,USA,59.033333,-158.483333,1.2952,Moderate,B,4,D1|D2|D3|D4,0.4779,False,1.906,A,10.0,8.571,0.0,1.54,3.1,0,1,0,0.0616,2.369,A,3.5,1.154,8.0,1.44,3.6,30.0,volatile,1.9597,A,5.455,2.0,8.0,0.169,12.0,1,0.8,91.4,0.318,A,4.38,2.04,0.0,0.0,0.31,1.48,none,none,proxy_harbor_size,proxy_terminal_count,gshap_real,,,unctad_2021_country_median
1525,39840.0,Ponza,Italy,IT,ITA,40.895,12.964,1.2943,Moderate,B,4,D1|D2|D3|D4,0.4735,False,2.105,A,5.0,7.143,0.0,5.5,13.0,2,2,0,0.2,2.288,A,3.75,0.705,8.0,2.124,3.5,23.0,volatile,1.7188,A,5.455,2.0,8.0,0.0,12.0,1,0.8,38.5,0.339,A,3.8,3.96,0.0,0.0,0.6,0.52,none,none,proxy_harbor_size,proxy_terminal_count,country_average,,,unctad_2021_country_median
